zulip-zulip,376
python-mypy,421
Instagram-LibCST,43
robinhood-faust,74
CoinAlpha-hummingbot,114
QQuick-Transcrypt,30
prompt-toolkit-python-prompt-toolkit,186
allenai-allennlp,249
PrefectHQ-prefect,268
awslabs-gluon-ts,76
facebookresearch-pytext,116
quantumlib-Cirq,159
trezor-trezor-core,36
opendevops-cn-opendevops,8
mil-tokyo-webdnn,10
jonasrauber-eagerpy,7
tiangolo-fastapi,276
lbryio-lbry-sdk,84
bashtage-arch,23
facebookresearch-nevergrad,47
Ultimaker-Cura,350
pytorch-captum,72
nutonomy-nuscenes-devkit,25
pgjones-quart,50
NervanaSystems-coach,31
aiogram-aiogram,101
pytorch-botorch,57
FederatedAI-FATE,61
tartiflette-tartiflette,18
edgedb-edgedb,51
psf-black,300
awslabs-sockeye,49
willmcgugan-rich,147
chdsbd-kodiak,29
Cog-Creators-Red-DiscordBot,135
facebookresearch-PyTorch-BigGraph,18
IntelAI-nauta,21
facebookresearch-ReAgent,75
trailofbits-manticore,84
volatilityfoundation-volatility3,37
talkpython-data-driven-web-apps-with-flask,7
kornia-kornia,150
sfu-db-dataprep,33
encode-httpx,151
jopohl-urh,18
its-a-feature-Mythic,13
mitmproxy-mitmproxy,365
nyu-mll-jiant,45
GoSecure-pyrdp,21
pydata-xarray,343
rigetti-pyquil,81
erdewit-ib_insync,26
napari-napari,97
argoai-argoverse-api,20
TarrySingh-Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,1
espnet-espnet,161
rr--szurubooru,22
aiortc-aioquic,13
pytorch-audio,147
maqp-tfc,1
strawberry-graphql-strawberry,121
tf-encrypted-tf-encrypted,24
encode-starlette,188
Ascotbe-Medusa,8
flairNLP-flair,171
apache-incubator-superset,429
microsoft-msticpy,31
rytilahti-python-miio,112
microsoft-TextWorld,25
SeldonIO-alibi,18
chartbeat-labs-textacy,28
awslabs-autogluon,62
thu-ml-tianshou,34
tensorflow-addons,177
awslabs-aws-lambda-powertools-python,49
facebookresearch-ClassyVision,50
zalando-incubator-kopf,17
zvtvz-zvt,54
google-TensorNetwork,50
chemprop-chemprop,29
abhinavsingh-proxy.py,15
actionless-pikaur,56
pynamodb-PynamoDB,83
yampelo-beagle,7
freqtrade-freqtrade,202
davecom-ClassicComputerScienceProblemsInPython,3
pirate-ArchiveBox,81
nubank-fklearn,41
facebookresearch-mmf,72
pupil-labs-pupil,40
tortoise-tortoise-orm,89
deepmind-bsuite,11
ilius-pyglossary,22
QAX-A-Team-LuWu,4
NervanaSystems-nlp-architect,30
facebookresearch-fvcore,36
vmagamedov-grpclib,13
systemd-mkosi,97
vibora-io-vibora,23
stepjam-RLBench,7
raveberry-raveberry,5
BindsNET-bindsnet,35
wemake-services-wemake-python-styleguide,159
fepegar-torchio,32
jindaxiang-akshare,21
encode-apistar,80
YaxeZhang-Just-Code,2
quantumblacklabs-causalnex,20
databricks-koalas,50
kubeflow-pipelines,297
hudson-and-thames-mlfinlab,3
anyant-rssant,2
Overv-outrun,3
google-tf-quant-finance,33
openvinotoolkit-training_extensions,60
jesse-ai-jesse,31
mirumee-ariadne,42
MegviiDetection-video_analyst,5
kakaobrain-torchgpipe,3
miyakogi-pyppeteer,22
ozmartian-vidcutter,4
aaugustin-websockets,49
telepresenceio-telepresence,49
mars-project-mars,40
tsileo-microblog.pub,8
errbotio-errbot,163
kakao-khaiii,9
pretix-pretix,193
lk-geimfari-mimesis,100
csingley-ofxtools,16
nonebot-nonebot,23
TokenMarketNet-smart-contracts,14
joshmarshall-mogo,5
WeblateOrg-weblate,325
Dentosal-python-sc2,24
open-telemetry-opentelemetry-python,132
pytorch-translate,62
automl-SMAC3,26
ClaudiuGeorgiu-Obfuscapk,8
microsoft-tf-gnn-samples,2
samuelcolvin-pydantic,245
sensepost-objection,54
peerchemist-finta,24
BMW-InnovationLab-BMW-YOLOv4-Training-Automation,4
microsoft-bistring,3
zotroneneis-magical_universe,1
OpenMined-PyGrid,70
huggingface-hmtl,6
cenobites-flask-jsonrpc,11
pipxproject-pipx,71
KhronosGroup-glTF-Blender-IO,53
typeddjango-django-stubs,145
tiangolo-full-stack-fastapi-postgresql,16
SolidCode-SolidPython,27
pyrogram-pyrogram,93
fastnlp-fastNLP,38
asottile-git-code-debt,7
hyperledger-indy-node,73
Instagram-MonkeyType,36
instaloader-instaloader,32
cuthbertLab-music21,90
0Kee-Team-WatchAD,1
HIT-SCIR-ltp,8
modAL-python-modAL,11
frankie567-fastapi-users,37
MIC-DKFZ-nnUNet,21
bentoml-BentoML,99
allenai-scispacy,14
pcrbot-yobot,18
PUNCH-Cyber-stoq,13
aio-libs-aiodocker,37
allenai-deep_qa,12
Shougo-defx.nvim,25
BrikerMan-Kashgari,20
modin-project-modin,87
kyb3r-modmail,47
ConvLab-ConvLab,16
lbryio-torba,9
Separius-BERT-keras,2
X-Plane-XPlane2Blender,8
vchoutas-smplx,6
spoqa-geofront,7
BloodAxe-pytorch-toolbelt,6
polygamma-aurman,10
JDAI-CV-fast-reid,18
fennerm-flashfocus,5
konradhalas-dacite,6
oilshell-oil,47
yadayada-acd_cli,24
httpie-httpie,127
airbnb-binaryalert,12
gilesknap-gphotos-sync,29
UKPLab-sentence-transformers,67
azavea-raster-vision,24
awslabs-aws-data-wrangler,84
mystor-git-revise,18
Neuraxio-Neuraxle,7
facebookincubator-Bowler,27
encode-databases,42
blueset-ehForwarderBot,11
NVlabs-noise2noise,1
NVlabs-stylegan2,3
akirasosa-mobile-semantic-segmentation,2
chainer-chainer,248
autokey-autokey,26
ak9250-stylegan-art,3
ThilinaRajapakse-simpletransformers,81
copier-org-copier,28
tech-srl-code2vec,9
blueman-project-blueman,68
agronholm-typeguard,19
apache-incubator-tvm,393
visionml-pytracking,10
pythonarcade-arcade,95
dry-python-returns,37
gogcom-galaxy-integrations-python-api,17
Ulauncher-Ulauncher,36
spesmilo-electrum,293
beerfactory-hbmqtt,32
GoVanguard-legion,14
sublimelsp-LSP,98
tfeldmann-organize,5
cr0hn-dockerscan,6
emeryberger-scalene,26
NicolasLM-bplustree,3
nccgroup-fuzzowski,3
facebookresearch-higher,8
minimaxir-aitextgen,6
taigaio-taiga-back,60
nackjicholson-aiosql,12
hardbyte-python-can,116
sloria-konch,10
threat9-routersploit,61
